date,cases,deaths,tweets
4/1/2020,83890,1653,200
4/2/2020,92770,1956,400
4/3/2020,102908,2325,500
4/4/2020,114994,3260,600
4/5/2020,122909,3481,800
4/6/2020,132016,4777,1000
4/7/2020,140080,5564,1521
4/8/2020,149403,6267,2271
4/9/2020,159939,7067,3285
4/10/2020,170513,7846,4162
4/11/2020,180460,8625,5373
4/12/2020,188696,9383,6540
4/13/2020,195032,10057,7870
4/14/2020,202208,10834,9230
4/15/2020,213777,11586,10620
4/16/2020,222283,12190,12014
4/17/2020,229640,12190,13301
4/18/2020,236765,12190,14624
4/19/2020,242816,13871,15808
4/20/2020,247542,14348,17103
4/21/2020,251720,14827,18360
4/22/2020,257244,15303,19546
4/23/2020,263460,15741,20633
4/24/2020,271622,16160,21902
4/25/2020,282175,16600,22933
4/26/2020,288078,16968,23830
4/27/2020,292028,17301,24824
4/28/2020,295139,17636,26044
4/29/2020,299720,18015,27219
4/30/2020,304402,18322,28230
